id,titulo,autor,editorial,pags,isbn,ejemplares
863 A55m,"Maestro Ciruela, El","Almena, Fernando",Edilux Ediciones,160,978-95-8070-1798,1
220,Dios Habla Hoy - La Biblia,Varios,-,1900,-,1
823 S82d,"Diablo en la Botella, El","Stevenson, Robert Louis",Grupo Editorial Norma,77,958-04-0855-6,1
834 N42h,"Humano, Demasiado Humano","Nietzsche, Federico",Editorial Bedout S.A.,296,-,1
863 J45p,Platero y Yo,"Jiménez, Juán Ramón",-,95,-,1
839.5 K13c,Cartas a Milena - Carta al Padre,"Kafka, Franz","Edicomunicación, S.A.",320,84-7672-989-8,1
516.7 O87n,Nociones de Geometría Vectorial,"Ospìna, Omar Evelio",-,53,-,1
C861 Z17d2,Después del Colegio,"Zapata, Flobert",Gobernación de Caldas. Centro deEscritores de Mzls,62,9199-37-2,1
C861 Z17d1,Declaraciones,"Zapata, Flobert",-,36,-,1
861 G17r,Romancero Gitano / Poeta en Nueva York.,"García Lorca, Federico",Casa Editorial El Tiempo,188,958-8089-63-8,1
C863 M88m,"Mansión de Araucaíma, La","Mutis, Álvaro",Casa Editorial El Tiempo,190,958-8089-61-1,1
A860 V25m,"Misterio de la Malignidad, EL (El Problema del Mal en Roberto Arlt).","Vélez Correa, Robeto",Editorial Universidad de Caldas,168,958-8041-46-5,1
C861 G65i…,IV Festival Nacional de Poesía - XII Festival Internacional de Poesía,"Gómez, Eduardo…",Lyrica Species,20,-,2
833 M16e,"Engañada, La","Mann, Thomas","Editorial Hermes-Editorial Sudamericana, S.A.",144,968-446-092-9,1
833 M16m,"Muerte en Venecia, La","Mann, Thomas",Casa Editorial El Tiempo,192,958-8089-66-2,1
539.1 D19d,Dios y la Nueva Física,"Davies, Paul","Salvat Editores, S.A.",272,84-345-8402-6,1
C863 M17d,Doce Cuentos Peregrinos,"García Márquez, Gabriel",Editorial La Oveja Negra Ltda.,226,958-06-0007-4,1
A863 C67c,Cuentos,"Cortázar, Julio","Ediciones Orbis, S.A.",218,84-85471-26-1,1
518.2 A68i,Introducción al Álgebra Lineal,"Anton, Howard","Editorial Limusa, S.A.",716,968-18-5192-7,1
517 L24c,"Cálculo, El","Leithold, Louis",Oxford University Press,1360,970-613-182-5,1
C861 A71a,Antología Poética,"Arbelaez, Jotamario",Fundación FICA,48,958-9091-38-5,1
C861 O87a,Antología Poética,"Ospina Buitrago, William",Fundación FICA,48,958-9091-32-6,1
M861 P19a,Antología Poética,"Paz, Octavio",Fundación FICA,48,958-9091-26-1,1
C861 M88a,Antología Poética,"Mutis, Álvaro",Fundación FICA,48,958-9091-05.X,1
891.8 G41l,"Loco, El","Gibran, Khalil",-,63,-,1
152 F76a,"Arte de Amar, El","Fromm, Erich",-,128,-,1
146.1 E63p,"Papel del trabajo en la transformación del mono en hombre, El","Engels, Federico",-,30,-,1
891.3 D68j,"Jugador, El","Dostoievsky, Fiodor",Periódicos Asociados Ltda.,142,958-693-126-9,1
508 G17i,Izquierda y Derecha en el Cosmos,"Gardner, Martin","Salvat Editores, S.A. - Alianza Editorial, S.A.",238,-,1
861 A66p,Poema de Mio Cid,Anónimo,"Salvat Editores, S.A.",158,-,1
900 M15c,"Conquista de la Tierra, La","Maluquer de Motes, Juan","Salvat Editores, S.A.",198,-,1
001 M47v,Visado para el Futuro,"Miravitlles, Luis","Salvat Editores, S.A.",190,-,1
574 P46m,"Mente Humana, La","Pinillos, José Luis","Salvat Editores, S.A.",182,-,1
523 R65s,Secretos del Cosmos,"Roman, Colin A.","Salvat Editores, S.A.",190,-,1
C861 C72p,"País Extenso en el Cielo (III Festival Nacional de Poesía), Un","Crespo, José Manuel…",Lyrica Species,20,-,1
C861 B27c,"Cosa Varia, De","Bernal Villegas, Alfredo…",Editorial El Propio Peculio,36,-,1
523 K47l,Luz del Confin del Universo,"Kippenhahn, Rudolf","Salvat Editores, S.A.",296,84-345-8445-X,1
113 R81c,"Cuarta Dimensión, La","Rucker, Rudy","Salvat Editores, S.A.",298,84-345-8444-1,1
523 K47c,Cien Mil Millones de Soles,"Kippenhahn, Rudolf","Salvat Editores, S.A.",268,84-345-8409-3,1
523 D19o,Otros Mundos,"Davies, Paul","Salvat Editores, S.A.",200,84-345-8372-0,1
193 R28s,"SinIsmos #6 -Nietzsche, El más Inquietante de los huéspedes","Restrepo, Carlos Enrique…",-,104,-,1
885 P51d,Diálogos (Apología de Sócrates - Lysis o de la Amistad),Platón,-,70,-,1
813 C51o,"Odisea Espacial 2001, Una","Clarke, Arthur C.","Salvat Editores, S.A.",190,-,1
Cu863 C17r,"Reino de Este Mundo, El","Carpentier, Alejo",Editorial Oveja Negra,158,84-8280-307-7,1
843 V27v,"Vuelta al Mundo en 80 Días, La","Verne, Julio",-,246,-,1
822 S31h,Hamlet / Macbeth,"Shakespeare, William",Casa Editorial El Tiempo,192,958-8089-18-2,1
832 G62f,Fausto,Goethe,Ediciones Universales,180,-,1
839.3 K13p,"Proceso, El","Kafka, Franz","Edicomunicación, s.a.",288,84-7672-976-6,1
831.21 A66c,"Cantar de los Nibelungos, El",Anónimo,"Edicomunicación, s.a.",288,84-7672-780-1,1
523.1 S14c,Cosmos,"Sagan, Carl",Editorial Planeta,366,84-320-3626-9,1
510 D26f,"McGraw-Hill Five-Place  Logarithmic And Trigonometric Tables, The","Dennison Beetle, Ralph","McGraw-Hill Book Company, Inc.",132,-,1
510 P68m,Matemáticas,"Postigo, Luis","Editorial Ramón Sopena, S.A.",928,84-303-0194-1,1
512 B15a,Álgebra,"Baldor, Aurelio",Editorial LM,576,-,1
514 H27t,Trigonometría,"Herrera Castañeda, Hector Herney",Publicaciones Colseñora,230,-,1
530 A56i,Introducción a La Física,"Marcelo, Alonso...",Editorial Norma,348,-,1
531 A59f,Física I,"Alzate Echeverri, Marta Cielo",Publicaciones Colseñora,235,-,1
530 C18c,Cuaderno de Tecnología Mecánica,"Castro Canal, Daniel",-,100,-,1
546 V42q,"Química Inorgánica, Química orgánica y Nociones de Química Biológica","Vidal, Jorge",Editorial Stella,1194,-,1
C861 C18n,Novísima Poesía,"Castro, Ana Paula…",Lyrica Species,48,-,1
133 B27t,"Triángulo de las Bermudas, El","Berlitz, Charles","Editorial Pomaire, S.A.",256,84-286-0464-9,1
193 E63l,Ludwig Feuerbach y el Fín de la Filosofía Clásica Alemana,"Engels, Federico",Editorial La Oveja Negra,112,-,1
171.600 B67r,"Responsabilidad del Científico, La","Born, Max","Editorial Labor, S.A.",154,-,1
510.1 G68p,Programación en C,"Gottfried, Byron S.",McGraw-Hill,592,84-7615-572-7,1
A863 S11t,"Túnel, El","Sábato, Ernesto",-,112,-,1
C863 V25s,"Suicidas de la Palabra, Los","Vélez Correa, Roberto",Centro Editorial Universidad de Caldas,160,958-8041-23-6,1
517 V42i,Introducción al Cálculo Infinitesimal,"Viedma C., Juan A.",Editorial Norma,272,-,1
517 G71c,Cálculo Diferencial e Integral,"Granville, William Anthony",Unión Tipográfica Editorial Hispano-Americana,688,-,1
530 C18f,Física General (C.E.F.),"Casas Reyes, José Vicente…",Editorial Norma,674,-,1
530 G17f1,Física 1 (Mecánica y Calorimetría),"García García, Carmelo…",PIME Editores Ltda.,248,958-605-057-2,1
530 G17f2,"Física 2 (Acústica, Óptica y Electricidad)","García García, Carmelo…",PIME Editores Ltda.,314,958-605-058-0,1
A863 C67a,"Armas Secretas y Otros Relatos, Las","Cortázar, Julio",Casa Editorial El Tiempo,190,958-8089-50-6,1
782 T67p,Pensamientos de Guerra (Ópera - Basada en la Novela de Orlando Mejía.),"Torres Cardona, Héctor Fabio",Centro Editorial Universidad de Caldas,20,-,2
C864.236 M24m,"Muerte y sus Símbolos, La (Muerte, Tecnocracia y Pormodernidad).","Mejía Rivera, Orlando",Editorial Universidad de Antioquia,220,958-655-342-6,1
051 S24i,Informador Técnico #60 - Año : 2000,"Seigubbar Güiza, José…",Publicaciones SENA - Cali,64,ISSN : 0122-056X,1
413.26 C18d,Diccionario de la Universidad de Chicago Inglés-Español y Español-Inglés.,"Castillo, Carlos…",The University of Chicago,476,0-671-64853-3,1
839.3 K13m,"Metamorfosis. Cuentos Fantásticos, La","Kafka, Franz","Edicomunicación, S.A.",286,84-7672-917-0,1
891.8 G41p,"Profeta, El","Gibran, Khalil","Edicomunicación, S.A.",126,84-7672-037-8,1
813 A84f,"Fin de la Eternidad, El","Asimov, Isaac","Ediciones Orbis, S.A.",272,84-7634-035-4,1
823 S82i,"Isla del Tesoro, La","Stevenson, R.L.","Salvat Editores, S.A.",190,-,1
823 W25a,"Alimento de los dioses, El","Wells, Herbert George","Edicomunicación, s.a.",288,84-8461-023-3,1
081 B67o,Obras Completas (1923 - 1972) de Jorge Luis Borges,"Borges, Jorge Luis",Emecé Editores,1164,-,1
504 S13m,"Mundo y Sus Demonios, El (La Ciencia Como una Luz en la Oscuridad).","Sagan, Carl",Editorial Planeta S.A.,496,84-08-02043-9,1
520.1 H19h,Historia del Tiempo,"Hawking, Stephen W.",Editorial Grijalbo S.A.,248,958-639-048-9,1
502.4 D72c,Conocimiento e Información,"Dretske, Fred I.","Salvat Editores, S.A.",280,84-345-8460-3,1
813 P62n,Narraciones Extraordinarias,"Allan Poe, Edgar",Casa Editorial El Tiempo,224,958-8089-49-2,1
Ch861 N27s,Selección de Poemas 1925 - 1952 (Pablo Neruda),"Neruda, Pablo",Círculo de Lectores,398,-,1
510.800 T13h,"Hombre que Calculaba, EL","Tahan, Malba",AEDO,238,84-7255-117-2,1
C864.1 C18r,Cuadernos Filosófico-Literarios # 6 La Reescritura de la Historia…,"Castrillón, Carlos A.",Centro Editorial Universidad de Caldas,84,-,1
C864.1 L67h,"Cuadernos Filosófico-Literarios # 10 (Hombre y lo sagrado, El)","López R., Oscar",Centro Editorial Universidad de Caldas,82,-,1
C864.1 G17i,Cuadernos Filosófico-Literarios # 11 (Introducción a la Lectura de Popper),"García Duque, Carlos Emilio",Centro Editorial Universidad de Caldas,98,-,1
058 G82m1,"Mundo de la Aviación, El (Vol. 1)","Guerrero, Juan Antonio…","Editorial Planeta-De Agostini, S.A.",240,84-395-1013-6,1
C861 P15a,Atlas Poético de Colombia -Valle del Cauca,"Palacios, Eustaquio…",Fundación FICA,192,958-9091.101,1
A861 P49e,"Extracción de la Piedra de Locura. Otros Poemas, La","Pizarnik, Alejandra",Ediciones Corregidor,60,84-7522-292-7,1
891.3 S36c,Cuentos del Don,"Shólojov, Mijaíl Alexándrovich","Salvat Editores, S.A.",190,-,1
823 O79m,1984,"Orwell, George","Salvat Editores, S.A.",228,-,1
Ch863 D66c,Coronación,"Donoso, José","Salvat Editores, S.A.",188,-,1
518.1 S82p,Patrones y Pautas en la Naturaleza,"Stevens, Peter S.","Salvat Editores, S.A.",294,-,1
C861 Z17m,Musa Levis - Breviario de poesía contemporánea de Caldas,"Zapata, Flobert…",Lyrica Species,192,84-345-8399-2,1
834.1 N42g,"Gaya Ciencia, La","Nietzsche, Friederich",-,222,-,1
891.8 G41j,"Jesús, Hijo del Hombre","Gibran, Khalil",Ediciones Universales,236,-,1
841 B18f,"Flores del Mal, Las","Baudelaire, Charles",Editorial la Oveja negra Ltda.,206,-,1
C861 S45o,Obra Completa,"Silva, José Asunción",Editoral Bedout S.A.,376,-,1
843 V65c,Cándido y otros cuentos,Voltaire,RBA Editores,318,84-473-0321-7,1
829.3 J69r,Retrato del Artista Adolescente,"Joyce, James",Editorial La Oveja Negra Ltda.,280,-,1
891.3 G67c,Cuentos Rusos,"Gorki, Maximo","Salvat Editores, S.A.",182,-,1
853 V27c,Cavalleria Rusticana - Cuentos Sicilianos,"Verga, Giovanni",Danilo Manera,96,88-88405-11-9,1
851 B15s,Si Tienes Una Montaña De Nieve Ponla A La Sombra,"Balestra, Tito","Danilo, Manera",32,-,1
851 G48v,Valija de Navegantes. Poesía y Narrativa Italiana Contemporánea,"Giudici, Giovanni",Ediciones el Aguijón,40,-,1
782 W13r1,"Ring des Nibelungen (Das Rheingold), Der","Wagner, Richard",-,100,-,1
782 W13r2,"Ring Des Nibelungen (Die Walküre), Der","Wagner, Richard",-,116,-,1
863 G45m,Memorabilia,"Gil-Albert, Juan",Tusquets Editor,284,84-7223-703-6,1
814 S66e,Estilos Radicales,"Sontag, Susan","Santillana Ediciones Generales, S.L.",424,84-663-0885-7,1
102 S27m,Mi Concepción del Mundo - Mi Vida,"Schrödinger, Erwin","Tusquets Editores, S.A.",80,84-7223-462-2,1
530.11 S27e,"Estructura del Espacio-Tiempo, La","Schrödinger, Erwin","Alianza Editorial, S.A.",94,84-8322-047-4,1
629.7 G17c,Caracterización Eléctrica de un Sist. De Deposición de películas Delgadas por Plasma,"García G., Luis Alpidio",-,88,-,1
629.6 V15a,AnálisisYSimulaciónDeUnaHerramientaComputacionalParaLaSimulaciónYElControlDeAlgunosSist.Físicos.,"Vallejo J., Margarita María",-,71,-,1
539.1 D29f,Flujos MHD de Fluídos Conductores Entre Paredes Caladas (Investigación),"Devia Cubillos, Alfonso",Centro de Publicaciones Universidad Nal.-Manizales,99,958-9322-45-X,1
829.3 J69d,Dublineses,"Joyce, James","Editorial La OvejaNegraLtda-EditorialSeixBarral,SA",224,84-8280+323-9,1
C863 M88u,Última Escala del Tramp Steamer,"Mutis, Álvaro",Casa Editorial El Tiempo,170,958-706-022-9,1
629.8 S31i,Introducción a la Ciencia de Materiales para Ingenieros,"Shackelford, James F.",Prentice Hall,676,84-8322-047-4,1
538 E46r,"Relatividad, La","Einstein, Albert","Editorial Grijalbo, S.A.",204,-,1
A863 C67r,Rayuela,"Cortázar, Julio",Suma de Letras. S.L.,720,84-663-0463-0,1
813 A84c,Cuentos Completos I,"Asimov, Isaac","Suma de Letras, S.L.",830,84-663-0803-2,1
531.1 S14i,Introducción a la Física de Materiales,"Saja Saéz, José Antonio de",Secretariado de Publicaciones - U de Valladolid,224,84-8448-060-7,1
782 W13r3,"Ring Des Nibelungen (Siegfried), Der","Wagner, Richard",-,132,-,1
104 T36d,Discusiones Filosóficas (Revista del Depto de Filosofía de la U. De Caldas. N˚ 1),"Thomson, Garret...",Centro Editorial Universidad de Caldas,156,-,1
C861 G17v,V Festival de Poesía - I Muestra Iberoamericana de Poesía (Programación).,"García Quintero, Felipe…",Corporación Nacional de Poesía,36,-,2
530 S27f2,Física (Para Ciencias e Ingeniería). Tomo II,"Serway, Raymond A…","McGraw-Hill/Interamericana Editores, S.A. de C.V.",954,970-10-3582-8,1
823 C17a,Alicia en el País de las Maravillas,"Carroll, Lewis",Casa Editorial El Tiempo,188,958-8089-65-4,1
891.3 C32n,Narraciones,"Chejov, Anton P.",Salvat Editores S.A.,172,"",1
891.3 P88d,Dubrovski - Los Relatos de Belkin,"Pushkin, A. S.","Salvat Editores, S.A.",176,"",1
142 R68c,Coloquios,"Rotterdam, Erasmo de","Editorial Espasa calpe, S.A.",318,84-239-1702-9,1
U861 B26a,Antología Poética,"Benedetti, Mario",Fundación FICA,48,958-9091-47-4,1
861 C27a,Antología Poética,"Cernuda, Luis",Fundación FICA,46,958-9091-16-4,1
A861 P49a,Antología Poética,"Pizarnik, Alejandra",Fundación FICA,48,958-9091-34-2,1
A863 B46i,"Invención de Morel, La","Bioy Casares, Adolfo",Grupo Editorial Norma,208,958-04-2196-X,1
536 S45q,Qué es la Entropía,"Silvestrini, Vittorio",Grupo Editorial Norma,70,958-04-3875-7,1
C861 A71n,Números hay sobre los templos,"Arciniegas Moscoso, Julio César",Ediciones Sociedad de la Imaginación,116,958-95017-7-X,1
885 P51r,"República o de lo justo, La",Platón,"Editorial Bedout, S.A.",324,-,1
839.3 K13c,"Castillo, El","Kafka, Franz",Círculo de lectores,368,-,1
530 S19c1,Curso de Física General Tomo 1 (Mecánica - Física Molecular),"Savéliev, I. V.",Editorial MIR - Moscú,456,-,1
530 S19c2,Curso de Física General Tomo 2 (Electricidad y Magnetismo - Ondas - Óptica),"Savéliev, I. V.",Editorial MIR - Moscú,520,-,1
530 S19c3,"Curso de Física General Tomo 3(Óptica Cuántica, Física Atómica, Física Del Sólido, Física Nuclear y De Las Partículas Elementales)","Savéliev, I. V.",Editorial MIR - Moscú,320,-,1
C861 M17s,"Sabor de la Tarde, El","Marín, Duván",Lyrica Species,28,-,1
519 G65e,Estadística,"Gómez Giraldo, Hugo","Centro de Publicaciones U, Nacional, sedeManizales",198,-,1
519.2 M65t,Tablas de Estadística,"Molina, E.C…","Centro de Publicaciones U, Nacional, sedeManizales",46,-,1
530.9 E46e,"Evoluvión de la Física, La","Einstein, Albert…",Salvat Editores S.A.,222,-,1
539 G74e,En busca del gato de Schrödinger,"Gribbin, Jhon","Salvat Editores, S.A.",246,-,1
539.1 D19s,Superfuerza,"Davies, Paul","Salvat Editores, S.A.",258,-,1
161.4 L17e,Ensayo filosófico sobre las probabilidades.,"Laplace, Pierre-Simon de","Alianza Editorial, S.A.",70,84-487-0088-0,1
161.4 B86c,"Ciencia (Su método y su filosofía), La","Bunge, Mario",Orion Editores Ltda.,60,-,1
C863 C14q,¡Que viva la música!,"Caicedo, Andrés",Editorial Victor Hugo,192,-,1
193 S13a,"Amor, Las Mujeres y La Muerte, El","Schopenhauer, Arthur",Editorial Cometa de Papel,264,-,1
834 N42a,"Anticristo, El","Nietzsche, Friederich",Ediciones Esquilo,96,958-8115-81-7,1
849.3 Y68m,Memorias de Adriano,"Yourcenar, Marguerite",Seix Barral,256,-,1
150.1 J86s,Simbología del Espíritu,"Jung, Carl Gustav",Fondo de Cultura Económica,165,-,1
523.1 S15e,Entre el Orden y el Caos: La Complejidad,"Sametband, Moisés José",Fondo de Cultura Económica S.A.,84,968-16-6051-X,1
523.1 P74n,"Nacimiento del Tiempo, El","Prigogine, Ilya","Tusquets Editores, S.A.",50,84-7223-292-1,1
574.1 B63f,"Físico visita al Biólogo, El","Bogdánov, K.",Editorial Mir Moscú,188,-,1
058 G82m2,"Mundo de la Aviación, El (Vol. 2)","Guerrero, Juan Antonio…","Editorial Planeta-De Agostini, S.A.",240,-,1
058 G82m3,"Mundo de la Aviación, El (Vol. 3)","Guerrero, Juan Antonio…","Mundo de la Aviación, El (Vol. 1)",240,84-395-1064-0,1
518 B69e,Ecuaciones Diferenciales Y Problemas con valores en la frontera,"Boyce, William E….","Editorial Limusa, S.A. de C.V.",760,968-18-4974-4,1
U863 B26d,Despistes y franquezas,"Benedetti, Mario",Seix Barral,250,950-731-068-1,1
A861 C67v,Veredas de Buenos Aires y Otros Poemas,"Cortazar, Julio",Compañía Editora Espasa Calpa,44,950-852-063-9,1
629 K22p,Propiedades Termodinámicas de las Sustancias,Keenan J.H. …,Centro de Publicaciones U.N. Manizales.,134,-,1
539 C18r,"Revista Colombiana de Física (Vol. 17, N° 2)","Castro, Luis Fernando…",-,16,-,1
536 R62t,Termodinámica Química,"Rodríguez Renuncio, Juan Antonio…",Editorial Síntesis,192,84-7738-581-5,1
823 H89m,"Mundo Feliz, Un","Huxley, Aldous",Casa Editorial El Tiempo,284,958-706-094-6,1
531 W25d,Dinámica de Lagrange. Teoría y problemas.,"Wells, Dare A.",McGraw-Hill,371,-,1
539 E48f,"Física Cuántica (Átomos, moléculas, sólidos, núcleos y partículas)","Eisberg, Robert…","Editorial Limusa, S.A. de C.V.",836,968-18-0419-8,1
C863 M24d,"Día señalado, El","Mejía Vallejo, Manuel",Editorial la Oveja Negra Ltda.,224,84-8280-422-7,1
539 G74i,Introduction to Quantum Mechanics,"Griffiths, David Jeffrey","Prentice Hall, Inc.",394,0-13-124405-1,1
514 M86t,Topología Básica,"Muñoz Quevedo, José M.",Editora Guadalupe Ltda.,244,958-9205-55-0,1
C861 V42n,"Nombres de la Ausencia, Los","Vieira, Maruja",Ediciones San Librario,120,958-97813-2-2,1
869.3 S17m,Memorial del Convento,"Saramago, José","Suma de Letras, S. L.",480,84-663-0162-3,1
869.3 S17l,Levantado del Suelo,"Saramago, José","Suma de Letras, S. L.",512,84-663-0949-7,1
895.3 N17c,Cuentos de Ise,"Narihira, Ariwara no","Ediciones Orbis, S. A.",192,84-85471-75-X,1
438 B81d,Deutsch (Direkte Progressive Methode),"Buch, Erstes",Éditions Pro Schola,128,-,1
435 D88g,Gramática Sucinta de la Lengua Alemana,"Otto, E.",Editorial Herder,284,-,1
430 G74d,Deutsche Sprachlehre für Ausländer,"Griesbach, Heinz…",Max Hueber Verlag,212,-,1
438 G74c,Clave. Deutsche Sprachlehre für Ausländer Spanisch,"Griesbach, Heinz…",Max Hueber Verlag München,56,-,1
530 V42f,Física,"Vidal, Jorge",Editorial Stella,438,-,1
355 L69a,Así se Hizo la Independencia,"Lozano Cleves, Alberto",Librería del Ejército,228,-,1
355 G83a,Acciones de Combate en Corea,"Gugeler, Russell A.",Librería del Ejército,332,-,1
355 N69r,Revista Militar No. 7,"Novoa M., Alfonso",Imprenta y Publicaciones de las Fuerzas Armadas,112,-,1
937 S42q,Quo Vadis?,"Sienkiewicz, Enrique",Editorial Tor,350,-,1
050 F43d,"Documentos Políticos. Revista del Partido Comunista de Colombia, No. 117"," Figueredo, Pedro",-,128,-,1
C863 R69v,"Vorágine, La","Rivera, José Eustasio",-,238,-,1
N861 J17r,Rubén darío y Otros Poetas. Impresiones Personales,"Jaramillo Meza, J. B.",-,300,-,1
843 V27d,De la Tierra a la Luna,"Verne, Julio",Ediciones G. P. Barcelona,384,-,1
342 C66c,Constitución Política de Colombia (1886),-,Imprenta Nacional,166,-,1
390 C67f,"Fiestas y Toros… Y Otras Fiestas, Las","Cordovez Moure, José María…",Instituto Colombiano de Cultura,148,-,1
813 F48g,"Gran Gatsby, El","Fitzgerald, Francis Scott","Plaza & Janés, S. A. Editores",206,-,1
539 D19e,"Espíritu en el Átomo, El","Davies, P. C. W. …","Alianza Editorial, S. A.",224,84205-0421-6,1
518 D26m,Mathematics for Physicists,"Dnnery, Philippe",Harper International Edition,396,-,1
537 J11c,Classical Electrodynamics,"Jackson, John David",John Wiley & Sons Inc.,832,0-471-30932-X,1
551 M13c,"Climate Modelling Primer, A","McGuffie, Kendal …",John Wiley & Sons Ltd,296,0-470-85750-1,1
530 M17p,Physics for Poets,"March, Robert H.",McGraw-Hill,304,0-07-119853-9,1
501 B63s,"Science, Order, and Creativity","Bohm, David",Routledge,324,0-415-17182-2,1
539 B63q,Quantum Theory,"Bohm, David",Dover Publications,656,0-486-65969-0,1
C861 R84l,"Lluvias del verano, Las","Ruiz, Carlos-Enrique",Ediciones Revista ALEPH,82,958-33-9802-0,1
843 H68p,"Posibilidad de una isla, La","Houllebecq, Michel","Alfaguara, S. A.",440,958-704-416-9,1
838.6 C16j,"Juego de Ojos, El (Obra Completa V)","Canetti, Elias","Círculo de Lectores, S.A. - [!]DeBOLS!LLO",416,84-9793-769-4,1
C863 E87s,"Signo del Pez, El","Espinosa, Germán","Aguilar, Altea, Taurus, Alfaguara, S. A.",388,958-8061-87-3,1
510.9 C18l,"Leonhard Euler, El más prolífico en la historia de la matemática.","Castro Chadid, Iván",-,44,-,1
082 Z15r,"Reformas Académicas en la Universidad Nacional de Colombia, Las (Proyectos y realizaciones 1935-1995; Serie Documentos de trabajo N° 2)","Zalames, Jorge…",Unibiblos,238,-,1
150.1 J86p,"Psicología de la Transferencia, La","Jung, Carl Gustav","Editorial Planeta-De Agostini, S.A.",184,84-395-0021-1,1
537 F46f,Fundamentos de Electrodinámica,"Fiódorov, N. N.",Editorial Mir Moscú,448,-,1
530 M45f,Física del Plasma,"Milántiev, M. …",Editorial Mir Moscú,162,-,1
537 G74i,Introduction to Electrodynamics,"Griffiths, David J","Prentice-Hall, Inc.",494,0-13-481374-X,1
510 I96a,Análisis Matemático,Carlos Ivorra Castillo,-,495,-,1
530.44 G17e,Elements of Plasma Physics,Solomon Gartenhaus,"Holt, Rinehart And WINSTON",208,-,1
861 R29c,Cartas a Ulises de Una Mujer que Vive Sola,"Reyes, Ángela",Ediciones de la Exema,68,84-86790-32-8,1
523.01 M25p,"Plasma Astrophysics. Nonthermal Processes in Diffuse Magnetized Plasmas. The Emission, Absorption and Transfer of Waves in Plasmas.","Melrose, D. B.",Gordon And Breach Science Publishers,270,0-677-03490-3,1
C863 V42m,"Minificción en Colombia (Antología), La","Vidales, Luis",Universidad Pedagógica Nacional,98,958-9097-84-7,1
813 B71f,Fahrenheit 451,"Bradbury, Ray",Editorial Austral,186,-,1
811 W34c,Canto a Mi Mismo,"Whitman, Walt",Editorial Esquilo Ltda,80,-,1
C863 V25n,Narrativas Urbanas. XI Juegos Florales,"Vélez Correa, Roberto…",Editorial Manigraf,160,958-8199-05-0,1
051 B17n,"Noos No. 17, Septiembre de 2003- Revista de la facultad de Ciencia y Administración","Barco, C. …",Centro de Publicaciones Unal - Manizales,186,ISSN 0123-5591,1
511 M86i,Introducción a la Teoría de Conjuntos,"Muñoz Quevedo, José M.",Universidad Nacional de Colombia,316,-,1
511 A55i,Introducción Moderna a la Matemática Superior,"Allendoerfer, Carl B. …",McGraw-Hill Book Company,155,-,1
869.3 S17c,"Caverna, La","Saramago, José","Santillana Ediciones Generales, S.L.",448,958-704-241-7,1
511 P46s,Set Theory,"Pinter, Charles C.",Addison-Wesley Publishing Company,218,0-201-05827-8,1
070.8 L26p,País de Plomo,"León, Juanita","Editora Aguilar, Altea, Taurus, Alfaguara S.A.",330,958-704-233-6,1
853 E16n,"Nombre de la Rosa, El","Eco, Umberto",Casa Editorial El Tiempo,480,958-706-076-8,1
849.3 M12v,"Vida de las Abejas, La","Maeterlinck, Maurice","Ediciones Orbis, S.A.",192,84-7530-314-5,1
863 C27d,Don Quijote de la Mancha,"Cervantes, Miguel de","Alfaguara, S.A.",1360,958-704-273-5,1
294 B67q,Qué es el Budismo,"Borges, Jorge Luis…",Emecé Editores,158,950-04-1051-6,1
